sub_num,session,trial_order,trial_number,frame_count_start,frame_count_end,filename
CAT_212,1,order1A-locationflip,1,503,647,CAT_212_session1
CAT_212,1,order1A-locationflip,2,726,870,CAT_212_session1
CAT_212,1,order1A-locationflip,3,949,1093,CAT_212_session1
CAT_212,1,order1A-locationflip,4,1171,1315,CAT_212_session1
CAT_212,1,order1A-locationflip,6,1616,1760,CAT_212_session1
CAT_212,1,order1A-locationflip,7,1840,1984,CAT_212_session1
CAT_212,1,order1A-locationflip,8,2062,2206,CAT_212_session1
CAT_212,1,order1A-locationflip,9,2285,2429,CAT_212_session1
CAT_212,1,order1A-locationflip,11,2730,2874,CAT_212_session1
CAT_212,1,order1A-locationflip,12,2953,3097,CAT_212_session1
CAT_212,1,order1A-locationflip,13,3176,3320,CAT_212_session1
CAT_212,1,order1A-locationflip,21,4957,5101,CAT_212_session1
CAT_212,1,order1A-locationflip,23,5402,5546,CAT_212_session1
CAT_212,1,order1A-locationflip,24,5625,5769,CAT_212_session1
CAT_212,2,order1B-locationflip,1,498,642,CAT_212_session2
CAT_212,2,order1B-locationflip,2,720,864,CAT_212_session2
CAT_212,2,order1B-locationflip,3,942,1086,CAT_212_session2
CAT_212,2,order1B-locationflip,4,1166,1310,CAT_212_session2
CAT_212,2,order1B-locationflip,6,1611,1755,CAT_212_session2
CAT_212,2,order1B-locationflip,7,1834,1978,CAT_212_session2
CAT_212,2,order1B-locationflip,9,2278,2422,CAT_212_session2
CAT_212,2,order1B-locationflip,12,2946,3090,CAT_212_session2
CAT_212,2,order1B-locationflip,21,4883,5027,CAT_212_session2
CAT_212,2,order1B-locationflip,23,5328,5472,CAT_212_session2
CAT_212,2,order1B-locationflip,24,5551,5695,CAT_212_session2
CAT_212,2,order1B-locationflip,26,5996,6140,CAT_212_session2
CAT_212,2,order1B-locationflip,27,6219,6363,CAT_212_session2
CAT_212,2,order1B-locationflip,29,6618,6735,CAT_212_session2
